Date,Close,Open,High,Low,Vol.
06-May-26,858.9,836,870.1,830.9,407.74K
05-May-26,836,915,836,836,12.81M
04-May-26,915,915,915,915,5.49M
30-Apr-26,915,870,915,890,6.19M
29-Apr-26,870,820,870,825,6.66M
28-Apr-26,820,820,820,819,6.16M
27-Apr-26,819.3,820,819.3,819.3,5.23M
24-Apr-26,820,819.5,820,818,10.03M
23-Apr-26,819.4,820.5,819.4,819.4,6.48M
22-Apr-26,820.5,820.5,820.5,820.5,2.79M
21-Apr-26,820.5,820.5,820.5,820.5,8.03M
20-Apr-26,820.5,825,821,820,6.65M
17-Apr-26,825,755,825,825,3.38M
16-Apr-26,755,736.9,755,740,2.82M
15-Apr-26,736.9,729,736.9,732.2,5.91M
14-Apr-26,729,745,729,729,2.81M
13-Apr-26,745,745,745,745,5.60M
10-Apr-26,745,745,745,745,3.04M
09-Apr-26,745,745,745,745,2.15M
08-Apr-26,760,760,760,760,3.82M
07-Apr-26,760,760,760,760,3.47M
06-Apr-26,760,760,760,760,2.10M
02-Apr-26,760,760,760,760,2.10M
01-Apr-26,760,760,760,760,1.57M
31-Mar-26,760,718,760,760,12.07M
30-Mar-26,718,718,718,718,2.88M
27-Mar-26,718,719.1,719.5,718,3.77M
26-Mar-26,719.1,718,720,718,15.37M
25-Mar-26,718,701.1,718.2,701.5,5.90M
24-Mar-26,701.1,709,730,701.1,11.36M
23-Mar-26,709,758,741,704,24.59M
18-Mar-26,758,760,759.9,758,9.17M
17-Mar-26,760,798,790,720,12.05M
16-Mar-26,798,779.1,799,795,6.98M
13-Mar-26,779.1,777.9,780,779,8.57M
12-Mar-26,777.9,773,777.9,773,1.82M
11-Mar-26,773,773,773,773,2.06M
10-Mar-26,773,790,773,773,1.98M
09-Mar-26,790,790,790,790,2.43M
06-Mar-26,790,795,790,790,2.54M
05-Mar-26,795,790,795,795,3.88M
04-Mar-26,790,780,819,780,8.84M
03-Mar-26,780,783,780,780,5.45M
02-Mar-26,783,760,783,770,5.48M
27-Feb-26,760,760,760,760,2.73M
26-Feb-26,760,760,760,760,4.19M
25-Feb-26,760,760,760,760,3.84M
24-Feb-26,760,780,760,760,4.63M
23-Feb-26,780,780,780,780,3.25M
20-Feb-26,780,780,780,780,3.18M
19-Feb-26,780,750,780,770,7.17M
18-Feb-26,750,750,750,750,2.72M
17-Feb-26,750,779.7,750,750,6.63M
16-Feb-26,779.7,708.9,779.7,778.8,9.77M
13-Feb-26,708.9,653,708.9,700.2,3.60M
12-Feb-26,653,650,653,650,3.04M
11-Feb-26,650,643,650,650,4.43M
10-Feb-26,643,620,645,640,10.59M
09-Feb-26,620,620.1,620,620,3.98M
06-Feb-26,620.1,610,620.1,617.5,5.74M
05-Feb-26,610,588.5,610,610,1.39M
04-Feb-26,588.5,572,588.5,588.5,1.51M
03-Feb-26,572,572,572,572,1.10M
02-Feb-26,572,572,572,572,1.64M
30-Jan-26,572,572,572,572,1.09M
29-Jan-26,572,572,572,572,1.57M
28-Jan-26,572,580,572,572,2.65M
27-Jan-26,580,580,580,580,1.50M
26-Jan-26,580,580,580,580,1.48M
23-Jan-26,580,580,580,580,1.46M
22-Jan-26,580,580,580,580,823.87K
21-Jan-26,580,580,580,580,1.18M
20-Jan-26,580,580,580,580,1.68M
19-Jan-26,580,580,580,580,1.11M
16-Jan-26,580,580,580,580,1.26M
15-Jan-26,580,605,580,580,2.33M
14-Jan-26,605,605,605,605,2.72M
13-Jan-26,605,550,605,603.5,17.93M
12-Jan-26,550,550,550,550,1.54M
09-Jan-26,550,511,550,550,1.81M
08-Jan-26,511,511,511,511,1.09M
07-Jan-26,511,511,511,511,1.06M
06-Jan-26,511,511,511,511,1.22M
05-Jan-26,511,511,511,511,1.20M
02-Jan-26,511,511,511,511,859.35K
31-Dec-25,511,506.9,511,508.1,3.85M
30-Dec-25,506.9,506.9,506.9,506.9,1.80M
29-Dec-25,506.9,504,506.9,506.9,1.92M
24-Dec-25,504,531.7,504,503,3.24M
23-Dec-25,531.7,531.7,531.7,531.7,2.46M
22-Dec-25,531.7,531.7,531.7,531.7,1.17M
19-Dec-25,531.7,531.7,531.7,531.7,1.34M
18-Dec-25,531.7,531.7,531.7,531.7,787.65K
17-Dec-25,531.7,531.7,531.7,531.7,715.93K
16-Dec-25,531.7,531.7,531.7,531.7,1.59M
15-Dec-25,531.7,531.7,531.7,531.7,1.25M
12-Dec-25,531.7,495.7,531.7,531.7,2.64M
11-Dec-25,495.7,472.5,495.7,495,2.20M
10-Dec-25,472.5,472.5,472.5,472.5,630.81K
09-Dec-25,472.5,472.5,472.5,472.5,1.56M
08-Dec-25,472.5,470.6,472.5,472.5,3.38M
05-Dec-25,470.6,470.6,470.6,470.6,6.15M
04-Dec-25,470.6,470.6,470.6,470.6,1.54M
03-Dec-25,470.6,470.6,470.6,470.6,1.34M
02-Dec-25,470.6,470.6,470.6,470.6,1.41M
01-Dec-25,470.6,470.6,470.6,470.6,1.14M
28-Nov-25,470.6,470,470.6,470.6,2.86M
27-Nov-25,470,465,470,470,3.46M
26-Nov-25,465,465,465,465,3.58M
25-Nov-25,465,465,465,465,4.22M
24-Nov-25,465,465,465,465,925.52K
21-Nov-25,465,470,465,465,3.10M
20-Nov-25,475,475,475,475,1.35M
19-Nov-25,475,475,475,475,684.08K
18-Nov-25,475,475,475,475,1.38M
17-Nov-25,475,475,475,475,883.91K
14-Nov-25,475,472,475,475,1.85M
13-Nov-25,472,472,472,472,3.09M
12-Nov-25,472,472.2,472.2,472,11.44M
11-Nov-25,429.3,477,429.3,429.3,2.06M
10-Nov-25,477,477,477,477,1.02M
07-Nov-25,477,477,477,477,2.37M
06-Nov-25,477,489.2,477,477,1.27M
05-Nov-25,489.2,520.1,489.2,489.2,2.20M
04-Nov-25,520.1,520.1,520.1,520.1,2.28M
03-Nov-25,520.1,520.1,520.1,520.1,1.69M
31-Oct-25,520.1,520.1,520.1,520.1,2.92M
30-Oct-25,520.1,520.1,520.1,520.1,2.74M
29-Oct-25,520.1,520.1,520.1,520.1,1.49M
28-Oct-25,520.1,515,520.1,520.1,2.90M
27-Oct-25,515,515,515,515,2.71M
24-Oct-25,515,510,515,515,2.56M
23-Oct-25,510,500,510,500,2.34M
22-Oct-25,500,480,500,500,2.46M
21-Oct-25,480,480,480,480,2.51M
20-Oct-25,480,474.4,480,480,3.06M
17-Oct-25,474.4,471.3,474.4,474.4,2.45M
16-Oct-25,471.3,471,471.3,471.3,2.25M
15-Oct-25,471,471,471,471,1.01M
14-Oct-25,471,471,471,471,5.35M
13-Oct-25,471,471,471,471,5.69M
10-Oct-25,471,471,471,471,964.68K
09-Oct-25,471,470.9,471,469,10.49M
08-Oct-25,470.9,450,470.9,470.9,1.49M
07-Oct-25,450,440,450,450,1.20M
06-Oct-25,440,425,440,440,691.23K
03-Oct-25,425,425,425,425,776.19K
02-Oct-25,425,423,425,425,1.60M
30-Sep-25,423,423,423,423,676.98K
29-Sep-25,423,420,423,422,2.83M
26-Sep-25,420,415,420,420,4.71M
25-Sep-25,415,414.1,415,414.1,12.08M
24-Sep-25,414.1,435,414.1,414.1,5.15M
23-Sep-25,435,435,435,435,3.87M
22-Sep-25,435,435,435,435,669.14K
19-Sep-25,435,435,435,435,1.21M
18-Sep-25,435,435,435,435,1.02M
17-Sep-25,435,435,435,435,2.23M
16-Sep-25,435,435,435,435,4.08M
15-Sep-25,435,435,435,435,591.88K
12-Sep-25,435,435,435,435,412.74K
11-Sep-25,435,435,435,435,2.03M
10-Sep-25,435,435,435,435,805.36K
09-Sep-25,435,435,435,435,1.96M
08-Sep-25,435,435,435,435,1.56M
04-Sep-25,435,435,435,435,2.17M
03-Sep-25,435,435,435,435,1.55M
02-Sep-25,435,435,435,435,977.59K
01-Sep-25,435,435,435,435,996.66K
29-Aug-25,435,435,435,435,1.01M
28-Aug-25,435,435,435,435,719.14K
27-Aug-25,435,435,435,435,2.23M
26-Aug-25,435,435,435,435,3.54M
25-Aug-25,435,435,435,435,707.31K
22-Aug-25,435,435,435,435,1.79M
21-Aug-25,435,445,435,435,2.78M
20-Aug-25,445,445,445,445,3.02M
19-Aug-25,445,445,445,445,1.04M
18-Aug-25,445,445,445,445,1.65M
15-Aug-25,445,460,445,445,645.95K
14-Aug-25,460,460,460,460,595.52K
13-Aug-25,460,460,460,460,1.53M
12-Aug-25,460,460,460,460,895.25K
11-Aug-25,460,460,460,460,1.37M
08-Aug-25,460,480,460,460,4.24M
07-Aug-25,480,480,480,480,2.48M
06-Aug-25,480,480,480,480,3.82M
05-Aug-25,480,480,480,480,1.90M
04-Aug-25,480,480,480,480,1.50M
01-Aug-25,480,472,480,480,1.49M
31-Jul-25,472,471.1,495,425,5.89M
30-Jul-25,471.1,451.6,471.1,471.1,6.99M
29-Jul-25,451.6,410.6,451.6,450,8.02M
28-Jul-25,410.6,400,410.6,410.2,4.03M
25-Jul-25,400,398,400,398,3.44M
24-Jul-25,395,400,395,395,1.78M
23-Jul-25,400,400,400,400,839.54K
22-Jul-25,400,400,400,400,672.64K
21-Jul-25,400,400,400,400,485.00K
18-Jul-25,400,400,400,400,235.35K
17-Jul-25,400,400,400,400,2.66M
16-Jul-25,400,395,400,400,1.91M
14-Jul-25,395,395,395,395,854.09K
11-Jul-25,395,390,395,395,2.22M
10-Jul-25,390,355,390,364.7,1.74M
09-Jul-25,355,355,355,355,1.61M
08-Jul-25,355,357.5,355,355,7.52M
07-Jul-25,357.5,357.5,357.5,357.5,704.91K
04-Jul-25,357.5,357.5,357.5,357.5,1.58M
03-Jul-25,357.5,357.5,357.5,357.5,571.18K
02-Jul-25,357.5,357.5,357.5,357.5,666.04K
01-Jul-25,357.5,357.5,357.5,357.5,430.13K
30-Jun-25,357.5,357.5,357.5,357.5,498.27K
27-Jun-25,357.5,357.5,357.5,357.5,369.42K
26-Jun-25,357.5,358,357.5,357.5,2.14M
25-Jun-25,358,356.2,358,358,1.07M
